S.No.,Rule,Support,Lift,Confidence
2031,FOAM/PLASTIC/CATERING  , JUICES,0.011,11,0.25
2032,ANTACID/LAXATIVE/DIETARY AID  , CEREAL,0.022,4.4,0.5
2033,CHEESE  , PERSONAL WASH,0.022,12.571,0.29
2034,SAUCES  , CONDIMENTS,0.011,8.8,0.5
2035,BODY MOISTURIZERS  , DIAPERS,0.011,44,1
2036,ALL SEASONAL SUNDRIES ITEMS  , ALL SEASONAL SUNDRIES ITEMS,0.011,88,1
2037,FRUITS & VEGETABLES  , BEVERAGES,0.011,1.035,0.2
2038,FOAM/PLASTIC/CATERING  , CHEESE,0.011,3.142,0.25
2039,BULK GOOD CANDY  , MEATS,0.011,5.866,0.33
2040,FRUIT SNACKS  , MEAT - PROTEIN,0.011,7.333,0.33
2041,CHEMICALS  , CHEESE,0.022,6.285,0.5
2042,SPREADS/SYRUP/HONEY  , MEAT - PROTEIN,0.011,5.5,0.25
2043,BEVERAGES  , SAUCES,0.011,4.4,0.1
2044,JUICES  , BEVERAGES,0.022,5.176,1
2045,ETHNIC  , MEAT,0.011,14.666,0.5
2046,OIL  , FRUIT & VEGETABLES,0.022,6.518,0.67
2047,MEAT - PROTEIN  , SPREADS/SYRUP/HONEY,0.011,5.5,0.25
2048,DISH DETERGENTS & SUPPLIES  , BARS,0.011,7.333,0.25
2049,FRUIT & VEGETABLES  , BEVERAGES,0.068,5.866,0.67
2050,PAPER PRODUCTS  , DESSERTS,0.011,11,0.13
2051,CEREAL  , MEATS,0.022,3.52,0.2
2052,FINE WINE  , PET SUPPLIES,0.034,12.571,1
2053,FOAM/PLASTIC/CATERING  , OUTDOOR WIRELESS & PLUG-IN,0.011,22,0.25
2054,RICE/BEANS/PASTA  , BAKING NUTS,0.011,2.933,0.2
2055,ALL HANGING APPAREL  , FRUITS & VEGETABLES,0.011,3.52,0.2
2056,RICE/BEANS/PASTA  , DRINK MIXES,0.011,4.4,0.2
2057,BAKING NUTS  , PAPER PRODUCTS,0.022,3.666,0.33
2058,TICKETING  , SPREADS/SYRUP/HONEY,0.011,22,1
2059,VITAMIN/SUPPLEMENTS  , VITAMIN/SUPPLEMENTS,0.045,22,1
2060,BEVERAGES  , PRODUCE,0.147,2.403,0.76
2061,FRUIT & VEGETABLES  , PREPARED FOODS,0.011,2.444,0.11
2062,PERSONAL WASH  , SPICES,0.011,22,0.5
2063,BATTERIES  , BATTERIES,0.011,88,1
2064,CHEESE  , BEVERAGES,0.034,3.771,0.43
2065,BODY MOISTURIZERS  , PAPER PRODUCTS,0.011,11,1
2066,FOOD COURT  , PRODUCE,0.011,1.047,0.33
2067,BODY MOISTURIZERS  , BODY MOISTURIZERS,0.011,88,1
2068,MEATS  , BASICS,0.011,17.6,0.2
2069,SALES  , RICE/BEANS/PASTA,0.011,1.955,0.11
2070,MEATS  , SPREADS/SYRUP/HONEY,0.022,8.8,0.4
2071,DESSERTS  , BEER,0.011,44,1
2072,RICE/BEANS/PASTA  , FRUIT & VEGETABLES,0.034,5.866,0.6
2073,WOMENS BASICS  , BAKING NUTS,0.011,14.666,1
2074,FRUIT & VEGETABLES  , FLOOR WINES,0.011,3.259,0.11
2075,FOAM/PLASTIC/CATERING  , BAKERY,0.011,2.75,0.25
2076,FIRST AID  , LAUNDRY DETERGENTS & SUPPLIES,0.011,11,1
2077,SOUPS  , BBS,0.011,5.5,1
2078,DESSERTS  , SALTY SNACKS,0.011,14.666,1
2079,WOMENS BASICS  , MEAT,0.011,29.333,1
2080,FRUIT & VEGETABLES  , VITAMIN/SUPPLEMENTS,0.011,2.444,0.11
2081,WIPES  , BEVERAGES,0.011,2.933,0.33
2082,ANTI-PERS/DEODORANT  , PREPARED,0.011,22,1
2083,FRUIT SNACKS  , CHEMICALS,0.011,7.333,0.33
2084,DISH DETERGENTS & SUPPLIES  , RICE/BEANS/PASTA,0.022,8.8,0.5
2085,FRUITS & VEGETABLES  , BASICS,0.011,17.6,0.2
2086,CHEESE  , VEND ITEMS,0.022,12.571,0.29
2087,FRUIT & VEGETABLES  , DESSERTS,0.011,9.777,0.11
2088,DISH DETERGENTS & SUPPLIES  , DISH DETERGENTS & SUPPLIES,0.045,22,1
2089,RICE/BEANS/PASTA  , PASTA & SAUCES,0.022,17.6,0.4
2090,BAKING NUTS  , BULK GOOD CANDY,0.022,9.777,0.33
2091,WRAPS  , FOAM/PLASTIC/CATERING,0.011,11,0.5
2092,SALES  , DAIRY PRODUCTS,0.068,2.256,0.67
2093,MINTS/GUM  , SPREADS/SYRUP/HONEY,0.011,22,1
2094,ORAL CARE  , FOAM/PLASTIC/CATERING,0.022,11,0.5
2095,PET SUPPLIES  , DRINK MIXES,0.011,3.142,0.14
2096,CHEMICALS  , MEATS,0.011,4.4,0.25
2097,PRODUCE  , FOOD COURT,0.011,1.047,0.04
2098,SOUPS  , PREPARED FOODS,0.011,22,1
2099,LAUNDRY DETERGENTS & SUPPLIES  , BEVERAGES,0.022,1.294,0.25
2100,ORAL CARE  , DAIRY PRODUCTS,0.022,1.692,0.5
2101,WRAPS  , CHEMICALS,0.011,11,0.5
2102,PRODUCE  , PAPER PRODUCTS,0.079,2.75,0.25
2103,FRUIT SNACKS  , DISH DETERGENTS & SUPPLIES,0.011,7.333,0.33
2104,BBS  , ANTI-PERS/DEODORANT,0.011,5.5,0.06
2105,WRAPS  , PAPER PRODUCTS,0.022,11,1
2106,PRODUCE  , WIPES,0.011,1.047,0.04
2107,FRUITS & VEGETABLES  , RICE/BEANS/PASTA,0.034,10.559,0.6
2108,CHEESE  , FOAM/PLASTIC/CATERING,0.011,3.142,0.14
2109,PAPER PRODUCTS  , WRAPS,0.022,11,0.25
2110,CEREAL  , MEATS,0.022,4.4,0.2
2111,DAIRY PRODUCTS  , COFFEE/SWEETENERS,0.011,3.384,0.04
2112,HAIR CARE  , SPREADS/SYRUP/HONEY,0.034,16.5,0.75
2113,RICE/BEANS/PASTA  , BEER,0.011,8.8,0.2
2114,PRODUCE  , FRUIT & VEGETABLES,0.079,2.444,0.25
2115,SPICES  , WIPES,0.011,14.666,0.5
2116,BBS  , CHEESE,0.045,3.142,0.25
2117,CONDIMENTS  , SALTY SNACKS,0.045,11.733,0.8
2118,MEATS  , BBS,0.022,2.75,0.5
2119,PET SUPPLIES  , MEAT,0.011,4.19,0.14
2120,BAKING NUTS  , ALL HANGING APPAREL,0.011,2.933,0.17
2121,PET SUPPLIES  , VEND ITEMS,0.011,6.285,0.14
2122,RICE/BEANS/PASTA  , CHEMICALS,0.022,8.8,0.4
2123,WATER FILTRATION  , CONDIMENTS,0.011,17.6,1
2124,BEVERAGES  , SALES,0.068,3.45,0.35
2125,PRODUCE  , FINE WINE,0.034,3.142,0.11
2126,MEATS  , BAKERY,0.011,2.2,0.2
2127,SPREADS/SYRUP/HONEY  , HAIR CARE,0.034,16.5,0.75
2128,SPREADS/SYRUP/HONEY  , LAUNDRY DETERGENTS & SUPPLIES,0.022,5.5,0.5
2129,DIAPERS  , DAIRY PRODUCTS,0.011,1.692,0.5
2130,BAKING NUTS  , BARS,0.011,4.888,0.17
2131,PREPARED FOODS  , FLOOR WINES,0.011,7.333,0.25
2132,FIRST AID  , DISH DETERGENTS & SUPPLIES,0.011,22,1
2133,FRUIT & VEGETABLES  , MEATS,0.022,3.911,0.22
2134,PREPARED FOODS  , CEREAL,0.011,4.4,0.5
2135,PASTA & SAUCES  , FRUITS & VEGETABLES,0.022,17.6,1
2136,WOMENS BASICS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,11,1
2137,VITAMIN/SUPPLEMENTS  , BEVERAGES,0.022,2.588,0.5
2138,FOAM/PLASTIC/CATERING  , CHEMICALS,0.011,5.5,0.25
2139,HAIR CARE  , CANNED FISH AND MEAT,0.022,14.666,0.5
2140,LAUNDRY DETERGENTS & SUPPLIES  , PREPARED FOODS,0.011,5.5,0.13
2141,HAIR CARE  , MEAT - PROTEIN,0.011,5.5,0.25
2142,PREPARED FOODS  , CANNED FISH AND MEAT,0.022,29.333,1
2143,DAIRY PRODUCTS  , FRUITS & VEGETABLES,0.045,2.707,0.15
2144,PREPARED FOODS  , SPREADS/SYRUP/HONEY,0.011,11,0.5
2145,ANTI-PERS/DEODORANT  , JUICES,0.011,44,1
2146,BODY MOISTURIZERS  , FOAM/PLASTIC/CATERING,0.011,22,1
2147,LAUNDRY DETERGENTS & SUPPLIES  , CANNED FISH AND MEAT,0.011,3.666,0.13
2148,CHEMICALS  , FRUITS & VEGETABLES,0.011,4.4,0.25
2149,PAPER PRODUCTS  , JUICES,0.011,5.5,0.13
2150,VITAMIN/SUPPLEMENTS  , PREPARED FOODS,0.011,5.5,0.25
2151,SALTY SNACKS  , DRINK MIXES,0.011,3.666,0.17
2152,PRODUCE  , DISH DETERGENTS & SUPPLIES,0.034,2.357,0.11
2153,MEAT - PROTEIN  , CHEESE,0.011,3.142,0.25
2154,HAIR CARE  , PREPARED FOODS,0.011,11,0.25
2155,WATER FILTRATION  , FOAM/PLASTIC/CATERING,0.011,22,1
2156,PET SUPPLIES  , FLOOR WINES,0.022,8.38,0.29
2157,FIRST AID  , DIAPERS,0.011,44,1
2158,MEAT  , SALES,0.011,3.259,0.33
2159,PRODUCE  , HAIR CARE,0.034,2.357,0.11
2160,ALL SEASONAL SUNDRIES ITEMS  , FINE WINE,0.011,29.333,1
2161,BAGS  , WIPES,0.011,14.666,0.5
2162,MINTS/GUM  , BEVERAGES,0.011,5.176,1
2163,RICE/BEANS/PASTA  , BEVERAGES,0.022,2.07,0.4
2164,PREPARED FOODS  , SPREADS/SYRUP/HONEY,0.011,5.5,0.25
2165,LAUNDRY DETERGENTS & SUPPLIES  , FIRST AID,0.011,11,0.13
2166,FINE WINE  , KITCHEN MISC.,0.011,14.666,0.33
2167,SPREADS/SYRUP/HONEY  , FRUITS & VEGETABLES,0.034,13.2,0.75
2168,CONDIMENTS  , PASTA & SAUCES,0.022,17.6,0.4
2169,PERSONAL WASH  , ALL HANGING APPAREL,0.011,8.8,0.5
2170,WATER FILTRATION  , BODY MOISTURIZERS,0.011,88,1
2171,TICKETING  , BBS,0.011,5.5,1
2172,CHEMICALS  , BBS,0.022,2.75,0.5
2173,FRUITS & VEGETABLES  , FRUITS & VEGETABLES,0.056,17.6,1
2174,MEATS  , ALL HANGING APPAREL,0.011,3.52,0.2
2175,CEREAL  , KITCHEN MISC.,0.011,4.4,0.1
2176,PREPARED FOODS  , BAKERY,0.022,5.5,0.5
2177,VEND ITEMS  , VITAMIN/SUPPLEMENTS,0.011,11,0.5
2178,MEAT  , DAIRY PRODUCTS,0.022,2.256,0.67
2179,ORAL CARE  , BBS,0.011,1.375,0.25
2180,DIABETIC & VETERINARY  , DIABETIC & VETERINARY,0.022,44,1
2181,COFFEE/SWEETENERS  , DAIRY PRODUCTS,0.011,3.384,1
2182,CONDIMENTS  , ANTACID/LAXATIVE/DIETARY AID,0.022,8.8,0.4
2183,MEATS  , DISH DETERGENTS & SUPPLIES,0.022,8.8,0.4
2184,DESSERTS  , FOAM/PLASTIC/CATERING,0.011,22,1
2185,SPAS/POOLS/CHEMICALS  , KITCHEN MISC.,0.011,44,1
2186,PAPER PRODUCTS  , MEATS,0.011,2.2,0.13
2187,BBS  , LAUNDRY DETERGENTS & SUPPLIES,0.022,1.375,0.13
2188,SPREADS/SYRUP/HONEY  , PREPARED FOODS,0.011,5.5,0.25
2189,PRODUCE  , BAKING NUTS,0.056,2.619,0.18
2190,BODY MOISTURIZERS  , DISH DETERGENTS & SUPPLIES,0.011,22,1
2191,FLOOR WINES  , PREPARED,0.011,7.333,0.33
2192,PAPER PRODUCTS  , FOAM/PLASTIC/CATERING,0.045,11,0.5
2193,VEND ITEMS  , SAUCES,0.011,22,0.5
2194,PREPARED  , BEVERAGES,0.022,2.588,0.5
2195,DESSERTS  , FRUIT SNACKS,0.011,29.333,1
2196,BEVERAGES  , DAIRY PRODUCTS,0.113,1.99,0.59
2197,FLOOR WINES  , PET SUPPLIES,0.022,8.38,0.67
2198,FINE WINE  , DAIRY PRODUCTS,0.022,2.256,0.67
2199,BEVERAGES  , LIQUOR,0.011,8.8,0.1
2200,ANTACID/LAXATIVE/DIETARY AID  , CHEMICALS,0.011,5.5,0.25
2201,CEREAL  , LAUNDRY DETERGENTS & SUPPLIES,0.011,1.1,0.1
2202,VITAMIN/SUPPLEMENTS  , PASTA & SAUCES,0.011,11,0.25
2203,DISH DETERGENTS & SUPPLIES  , PREPARED,0.011,5.5,0.25
2204,RICE/BEANS/PASTA  , CANNED FISH AND MEAT,0.011,5.866,0.2
2205,DESSERTS  , PAPER PRODUCTS,0.011,11,1
2206,CHEMICALS  , RICE/BEANS/PASTA,0.022,8.8,0.5
2207,CONDIMENTS  , BODY MOISTURIZERS,0.011,17.6,0.2
2208,ORAL CARE  , PAPER PRODUCTS,0.034,8.25,0.75
2209,PET SUPPLIES  , SALES,0.011,1.396,0.14
2210,RICE/BEANS/PASTA  , DESSERTS,0.011,17.6,0.2
2211,BAKERY  , ANTACID/LAXATIVE/DIETARY AID,0.022,5.5,0.25
2212,WOMENS BASICS  , FRUITS & VEGETABLES,0.011,17.6,1
2213,DESSERTS  , BEVERAGES,0.011,8.8,1
2214,ANTACID/LAXATIVE/DIETARY AID  , SPREADS/SYRUP/HONEY,0.011,5.5,0.25
2215,CONDIMENTS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,2.2,0.2
2216,DESSERTS  , DESSERTS,0.011,88,1
2217,PERSONAL WASH  , FRUIT & VEGETABLES,0.011,4.888,0.5
2218,ORAL CARE  , BATTERIES,0.011,22,0.25
2219,BBS  , FRUIT & VEGETABLES,0.056,3.055,0.31
2220,ETHNIC  , SALES,0.011,9.777,1
2221,PREPARED  , LIQUOR,0.011,22,0.25
2222,PASTA & SAUCES  , SOUPS,0.011,44,0.5
2223,BEVERAGES  , CONDIMENTS,0.022,2.07,0.12
2224,FRUITS & VEGETABLES  , ETHNIC,0.011,17.6,0.2
2225,DIET / NUTRITION  , FOAM/PLASTIC/CATERING,0.011,22,1
2226,FRUIT & VEGETABLES  , ORAL CARE,0.022,4.888,0.22
2227,RICE/BEANS/PASTA  , BARS,0.011,5.866,0.2
2228,CHEESE  , SAUCES,0.011,6.285,0.14
2229,BEVERAGES  , HAIR CARE,0.011,2.2,0.1
2230,MEAT - PROTEIN  , BARS,0.011,7.333,0.25
2231,BEVERAGES  , PET SUPPLIES,0.034,2.218,0.18
2232,FINE WINE  , FINE WINE,0.034,29.333,1
2233,WIPES  , WRAPS,0.011,14.666,0.33
2234,SPICES  , JUICES,0.011,22,0.5
2235,BAKERY  , DISH DETERGENTS & SUPPLIES,0.011,2.75,0.13
2236,DISH DETERGENTS & SUPPLIES  , SPICES,0.011,11,0.25
2237,SALTY SNACKS  , PASTA & SAUCES,0.011,7.333,0.17
2238,MEATS  , PRODUCE,0.034,2.357,0.75
2239,FINE WINE  , CHEESE,0.011,4.19,0.33
2240,OIL  , PRODUCE,0.022,2.095,0.67
2241,ETHNIC  , BBS,0.011,5.5,1
2242,PREPARED  , SALES,0.011,2.444,0.25
2243,BASICS  , RICE/BEANS/PASTA,0.011,17.6,1
2244,ANTACID/LAXATIVE/DIETARY AID  , DAIRY PRODUCTS,0.022,1.692,0.5
2245,BATTERIES  , DAIRY PRODUCTS,0.011,3.384,1
2246,PERSONAL WASH  , BEVERAGES,0.011,4.4,0.5
2247,CANNED FISH AND MEAT  , CHEESE,0.011,4.19,0.33
2248,MEATS  , BULK GOOD CANDY,0.011,5.866,0.2
2249,FRUIT & VEGETABLES  , BASICS,0.011,9.777,0.11
2250,PAPER PRODUCTS  , PRODUCE,0.079,2.75,0.88
2251,PREPARED  , MEATS,0.011,4.4,0.25
2252,ALL HANGING APPAREL  , SALES,0.022,3.911,0.4
2253,FRUIT & VEGETABLES  , FRUIT & VEGETABLES,0.102,9.777,1
2254,PAPER PRODUCTS  , ORAL CARE,0.034,8.25,0.38
2255,JUICES  , BEVERAGES,0.011,4.4,0.5
2256,PET SUPPLIES  , BEVERAGES,0.034,2.218,0.43
2257,MEATS  , RICE/BEANS/PASTA,0.022,7.04,0.4
2258,BEVERAGES  , CANNED FISH AND MEAT,0.011,2.933,0.1
2259,LIQUOR  , DISH DETERGENTS & SUPPLIES,0.011,22,1
2260,CEREAL  , FLOOR WINES,0.022,5.866,0.2
2261,BBS  , FRUIT SNACKS,0.022,3.666,0.13
2262,BAGS  , BAGS,0.022,44,1
2263,FRUIT SNACKS  , LIQUOR,0.011,29.333,0.33
2264,RICE/BEANS/PASTA  , ALL HANGING APPAREL,0.011,3.52,0.2
2265,PAPER PRODUCTS  , FRUIT SNACKS,0.011,3.666,0.13
2266,SALTY SNACKS  , CEREAL,0.034,4.4,0.5
2267,WRAPS  , PRODUCE,0.022,3.142,1
2268,PREPARED FOODS  , FRUIT & VEGETABLES,0.011,2.444,0.25
2269,BBS  , FOOD COURT,0.011,1.833,0.06
2270,BEVERAGES  , CANNED FISH AND MEAT,0.011,1.725,0.06
2271,BARS  , MEAT - PROTEIN,0.011,7.333,0.33
2272,FRUIT & VEGETABLES  , MEAT,0.022,6.518,0.22
2273,FRUIT & VEGETABLES  , SPICES,0.011,4.888,0.11
2274,CONDIMENTS  , BAKING NUTS,0.011,2.933,0.2
2275,PASTA & SAUCES  , SAUCES,0.011,22,0.5
2276,DISH DETERGENTS & SUPPLIES  , SALTY SNACKS,0.022,7.333,0.5
2277,DIAPERS  , BAGS,0.011,22,0.5
2278,ALL HANGING APPAREL  , CEREAL,0.011,1.76,0.2
2279,PAPER PRODUCTS  , MEAT - PROTEIN,0.011,2.75,0.13
2280,DRINK MIXES  , PREPARED FOODS,0.011,5.5,0.25
2281,BULK GOOD CANDY  , BEVERAGES,0.022,3.45,0.67
2282,CEREAL  , COFFEE/SWEETENERS,0.011,8.8,0.1
2283,MEATS  , MEATS,0.056,17.6,1
2284,ALL SEASONAL SUNDRIES ITEMS  , FRUIT & VEGETABLES,0.011,9.777,1
2285,BBS  , DRINK MIXES,0.022,2.75,0.13
2286,BAKERY  , DESSERTS,0.011,11,0.13
2287,PAPER PRODUCTS  , BATTERIES,0.011,11,0.13
2288,HAIR CARE  , PRODUCE,0.034,2.357,0.75
2289,CHEESE  , RICE/BEANS/PASTA,0.034,7.542,0.43
2290,CHEESE  , ANTACID/LAXATIVE/DIETARY AID,0.034,9.428,0.43
2291,RICE/BEANS/PASTA  , ETHNIC,0.011,17.6,0.2
2292,MEATS  , KITCHEN MISC.,0.011,11,0.25
2293,SPICES  , DESSERTS,0.011,44,0.5
2294,DIET / NUTRITION  , ORAL CARE,0.011,22,1
2295,DAIRY PRODUCTS  , FINE WINE,0.022,2.256,0.08
2296,CONDIMENTS  , BARS,0.011,5.866,0.2
2297,BAKERY  , PREPARED FOODS,0.022,5.5,0.25
2298,PASTA & SAUCES  , PASTA & SAUCES,0.022,44,1
2299,CANNED FISH AND MEAT  , PRODUCE,0.022,2.095,0.67
2300,BAGS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,5.5,0.5
2301,TICKETING  , LAUNDRY DETERGENTS & SUPPLIES,0.011,11,1
2302,BAGS  , BODY MOISTURIZERS,0.011,44,0.5
2303,PRODUCE  , MEAT,0.022,2.095,0.07
2304,CHEMICALS  , SPICES,0.011,11,0.25
2305,MEAT - PROTEIN  , ALL HANGING APPAREL,0.011,4.4,0.25
2306,DAIRY PRODUCTS  , FRUIT & VEGETABLES,0.056,1.88,0.19
2307,WRAPS  , WIPES,0.011,14.666,0.5
2308,PAPER PRODUCTS  , BAKERY,0.034,4.125,0.38
2309,LAUNDRY DETERGENTS & SUPPLIES  , CHEMICALS,0.011,2.75,0.13
2310,HAIR CARE  , FRUITS & VEGETABLES,0.022,8.8,0.5
2311,SPICES  , PAPER PRODUCTS,0.011,5.5,0.5
2312,PASTA & SAUCES  , SALTY SNACKS,0.011,7.333,0.5
